2024-07-07 22:47:33 INFO  WebSocketBinanceChange:39 - Trade{type=ASK, originalAmount=0.00087000, instrument=BTC/USDT, price=56836.09000000, timestamp=Sun Jul 07 22:47:32 NOVT 2024, id='3669508294', makerOrderId='0', takerOrderId='0'}
2024-07-07 22:47:33 INFO  WebSocketBinanceChange:39 - Trade{type=ASK, originalAmount=0.00313000, instrument=BTC/USDT, price=56836.10000000, timestamp=Sun Jul 07 22:47:32 NOVT 2024, id='3669508295', makerOrderId='0', takerOrderId='0'}
2024-07-07 22:47:33 INFO  WebSocketBinanceChange:39 - Trade{type=ASK, originalAmount=0.08825000, instrument=BTC/USDT, price=56836.64000000, timestamp=Sun Jul 07 22:47:32 NOVT 2024, id='3669508296', makerOrderId='0', takerOrderId='0'}
2024-07-07 22:47:33 INFO  WebSocketBinanceChange:39 - Trade{type=ASK, originalAmount=0.16309000, instrument=BTC/USDT, price=56838.00000000, timestamp=Sun Jul 07 22:47:32 NOVT 2024, id='3669508297', makerOrderId='0', takerOrderId='0'}
2024-07-07 22:47:33 INFO  WebSocketBinanceChange:39 - Trade{type=ASK, originalAmount=0.00010000, instrument=BTC/USDT, price=56838.00000000, timestamp=Sun Jul 07 22:47:32 NOVT 2024, id='3669508298', makerOrderId='0', takerOrderId='0'}
2024-07-07 22:47:33 INFO  WebSocketBinanceChange:39 - Trade{type=ASK, originalAmount=0.00010000, instrument=BTC/USDT, price=56838.00000000, timestamp=Sun Jul 07 22:47:32 NOVT 2024, id='3669508299', makerOrderId='0', takerOrderId='0'}
2024-07-07 22:47:33 INFO  WebSocketBinanceChange:39 - Trade{type=ASK, originalAmount=0.00010000, instrument=BTC/USDT, price=56838.00000000, timestamp=Sun Jul 07 22:47:32 NOVT 2024, id='3669508300', makerOrderId='0', takerOrderId='0'}
2024-07-07 22:47:33 INFO  WebSocketBinanceChange:39 - Trade{type=ASK, originalAmount=0.00010000, instrument=BTC/USDT, price=56838.00000000, timestamp=Sun Jul 07 22:47:32 NOVT 2024, id='3669508301', makerOrderId='0', takerOrderId='0'}
2024-07-07 22:47:33 INFO  WebSocketBinanceChange:39 - Trade{type=ASK, originalAmount=0.00010000, instrument=BTC/USDT, price=56838.00000000, timestamp=Sun Jul 07 22:47:32 NOVT 2024, id='3669508302', makerOrderId='0', takerOrderId='0'}
2024-07-07 22:47:33 INFO  WebSocketBinanceChange:39 - Trade{type=ASK, originalAmount=0.00169000, instrument=BTC/USDT, price=56838.09000000, timestamp=Sun Jul 07 22:47:32 NOVT 2024, id='3669508303', makerOrderId='0', takerOrderId='0'}
2024-07-07 22:47:33 INFO  WebSocketBinanceChange:39 - Trade{type=ASK, originalAmount=0.07038000, instrument=BTC/USDT, price=56838.45000000, timestamp=Sun Jul 07 22:47:32 NOVT 2024, id='3669508304', makerOrderId='0', takerOrderId='0'}
2024-07-07 22:47:33 INFO  WebSocketBinanceChange:39 - Trade{type=ASK, originalAmount=0.00034000, instrument=BTC/USDT, price=56840.00000000, timestamp=Sun Jul 07 22:47:32 NOVT 2024, id='3669508305', makerOrderId='0', takerOrderId='0'}
2024-07-07 22:47:34 INFO  WebSocketBinanceChange:39 - Trade{type=ASK, originalAmount=0.09966000, instrument=BTC/USDT, price=56840.00000000, timestamp=Sun Jul 07 22:47:32 NOVT 2024, id='3669508306', makerOrderId='0', takerOrderId='0'}
2024-07-07 22:47:34 INFO  WebSocketBinanceChange:39 - Trade{type=ASK, originalAmount=0.00010000, instrument=BTC/USDT, price=56840.00000000, timestamp=Sun Jul 07 22:47:32 NOVT 2024, id='3669508307', makerOrderId='0', takerOrderId='0'}
2024-07-07 22:47:34 INFO  WebSocketBinanceChange:39 - Trade{type=ASK, originalAmount=0.00010000, instrument=BTC/USDT, price=56840.00000000, timestamp=Sun Jul 07 22:47:32 NOVT 2024, id='3669508308', makerOrderId='0', takerOrderId='0'}
2024-07-07 22:47:34 INFO  WebSocketBinanceChange:39 - Trade{type=ASK, originalAmount=0.00010000, instrument=BTC/USDT, price=56840.00000000, timestamp=Sun Jul 07 22:47:32 NOVT 2024, id='3669508309', makerOrderId='0', takerOrderId='0'}
2024-07-07 22:47:34 INFO  WebSocketBinanceChange:39 - Trade{type=ASK, originalAmount=0.00010000, instrument=BTC/USDT, price=56840.00000000, timestamp=Sun Jul 07 22:47:32 NOVT 2024, id='3669508310', makerOrderId='0', takerOrderId='0'}
2024-07-07 22:47:34 INFO  WebSocketBinanceChange:39 - Trade{type=ASK, originalAmount=0.00010000, instrument=BTC/USDT, price=56840.00000000, timestamp=Sun Jul 07 22:47:32 NOVT 2024, id='3669508311', makerOrderId='0', takerOrderId='0'}
2024-07-07 22:47:34 INFO  WebSocketBinanceChange:39 - Trade{type=ASK, originalAmount=0.01929000, instrument=BTC/USDT, price=56840.00000000, timestamp=Sun Jul 07 22:47:32 NOVT 2024, id='3669508312', makerOrderId='0', takerOrderId='0'}
2024-07-07 22:47:34 INFO  WebSocketBinanceChange:39 - Trade{type=ASK, originalAmount=0.04549000, instrument=BTC/USDT, price=56840.00000000, timestamp=Sun Jul 07 22:47:32 NOVT 2024, id='3669508313', makerOrderId='0', takerOrderId='0'}
2024-07-07 22:47:34 INFO  WebSocketBinanceChange:39 - Trade{type=ASK, originalAmount=0.00117000, instrument=BTC/USDT, price=56840.00000000, timestamp=Sun Jul 07 22:47:32 NOVT 2024, id='3669508314', makerOrderId='0', takerOrderId='0'}
2024-07-07 22:47:34 INFO  WebSocketBinanceChange:39 - Trade{type=ASK, originalAmount=0.00117000, instrument=BTC/USDT, price=56840.00000000, timestamp=Sun Jul 07 22:47:32 NOVT 2024, id='3669508315', makerOrderId='0', takerOrderId='0'}
2024-07-07 22:47:34 INFO  WebSocketBinanceChange:39 - Trade{type=ASK, originalAmount=0.00117000, instrument=BTC/USDT, price=56840.00000000, timestamp=Sun Jul 07 22:47:32 NOVT 2024, id='3669508316', makerOrderId='0', takerOrderId='0'}
2024-07-07 22:47:34 INFO  WebSocketBinanceChange:39 - Trade{type=ASK, originalAmount=0.00117000, instrument=BTC/USDT, price=56840.00000000, timestamp=Sun Jul 07 22:47:32 NOVT 2024, id='3669508317', makerOrderId='0', takerOrderId='0'}
